address,symbol,market_cap,volume_24h_usd,liquidity,holder,trade_24h_count,recent_listing_time,listed_at,appear_count
8hhRHZkoCwLojdSthxu3Ho5K2j4BZHnSZ93HZjd4Mxo6,LFG,2244867.7599614565,36641504.57216036,626749.6217400488,4705,20341,1745999383.0,2025-04-30 07:49:43+00:00,3
C1NajeuDuiZqchrbVM2TsbAtbcEKhwQECuD4ETknfd1f,CIPHER,1079613.4973356766,32975101.579311915,377571.94453608175,4122,24622,1746016594.0,2025-04-30 12:36:34+00:00,3
A4LGQjgLomHTvmEswxgn8N4zVBTpUqTTdCMHpzqNSfyz,SOLDA,764101.7578878971,32716737.22264824,318377.9408696369,4715,25838,1745846544.0,2025-04-28 13:22:24+00:00,3
AiASC32J6AS5iyhDXC74c5GZAoVjyt6b36gV9AYtcH84,PIXOPIA,3383409.973102806,32033765.412242245,363644.87988996675,6796,28440,1745975008.0,2025-04-30 01:03:28+00:00,3
97uXZdavSESAgt4BmEPhqkBjetFKQM3yKE5n6FQLSubX,GUARNET,2610710.1809650282,30990750.662724137,373879.2528016891,9507,17359,1745692171.0,2025-04-26 18:29:31+00:00,2
9Rgf7VrW8GfXk5mTs8Hj9T813vNT1VbzG68Sm4QeBnxZ,SORA,767236.9862134155,30811748.71731621,202088.11429593374,4791,27621,1746024160.0,2025-04-30 14:42:40+00:00,3
8RjvNhuXQNSZ5JPsLQFS6j2VEp2Mm7zm1Do9PfKGQWam,DSR!,4140792.4984362894,29763970.487252027,733793.9806714533,6607,23977,1745892481.0,2025-04-29 02:08:01+00:00,3
2TJGNnPP26LzdSsFMUXDXohzfkDGiP1Y25yYW1FiCT5w,MTGA,213404.2805531968,29672436.243550815,144497.6597744043,6674,29891,1745887203.0,2025-04-29 00:40:03+00:00,3
47MP6mzg1mkWawZcyPbXtLiikwcSvAqYMKukxRHvBbm5,Lyra,108554.93009803387,29245406.488249168,111253.21336054328,5303,25645,1745841908.0,2025-04-28 12:05:08+00:00,3
FKBRnWDqnzLUJxM8odGYMhqQygMEseY4NcsBgqekLn6W,SYS,748887.5935457767,28546393.412032083,312327.7178508582,8171,21619,1745777591.0,2025-04-27 18:13:11+00:00,3
7ZoiJt345qwsxrKueGC8ZaZbqB7Kqn4E3XZ7gMY1ks2P,TRUMLL,981589.4541539825,24967714.03984077,379111.5076810032,10386,19357,1745800582.0,2025-04-28 00:36:22+00:00,3
6g7SZhJJTZcfRVyfSj4JYLky3npTXVSJ8pRcdnSMJLTy,SYNDEV,1969524.6794008606,22821537.192714587,370434.0783869004,6688,23863,1745841847.0,2025-04-28 12:04:07+00:00,3
GkyPYa7NnCFbduLknCfBfP7p8564X1VZhwZYJ6CZpump,CHILLHOUSE,320631.8900790672,21215200.09809526,79542.24666898973,2484,81555,1745617855.0,2025-04-25 21:50:55+00:00,2
Cz75ZtjwgZmr5J1VDBRTm5ZybZvEFR5DEdb8hEy59pWq,FUCKCOIN,633784.4553307316,13131356.68141222,166364.88929564613,3466,72628,1746044986.0,2025-04-30 20:29:46+00:00,2
FkT2JJHDLL5eyBeeX7RjFevXSP5UDwRkiMCusg3ypump,URMOM,1135290.3916133249,11270917.146304376,172137.4969594982,1768,49891,1746064604.0,2025-05-01 01:56:44+00:00,1
qRUZaCpgxaRH1s5V6opjPA6Hnpv5BM37LqkDBw7pump,MvG,641048.8831159971,5578062.79796113,163500.49536998902,6368,38152,1745470240.0,2025-04-24 04:50:40+00:00,3
6EXW1uMsNWX9e69Apw6DfFgnX3cc1AWjsQo75zDepump,LockedIn,1757452.1486231247,5317092.832776196,208282.89385397377,3630,45297,1746027727.0,2025-04-30 15:42:07+00:00,3
8ncucXv6U6epZKHPbgaEBcEK399TpHGKCquSt4RnmX4f,TRENCHER,5878466.180102292,5051604.447056072,869879.7409072644,7816,33563,1745485811.0,2025-04-24 09:10:11+00:00,2
GbJc874WV7ENkzFwtBRLuDHTCpGcd4p1jo927A6boop,testing,218643.18134504117,5012539.703980459,46069.65727572261,693,15549,1746087229.0,2025-05-01 08:13:49+00:00,1
3shfVzKVVBMdbXwzxyqLCJF5GCme32pkfJroiBpBpump,horni,258884.97183068586,4571008.130592382,79022.50289577748,2445,36177,1746050058.0,2025-04-30 21:54:18+00:00,2
GnsvKX2vLTup2JsRWME9x2q1Hne8otpvAGFWRYjnpump,THEONE,532879.4455992486,4374214.292251644,80030.68051178858,1215,24574,1746103218.0,2025-05-01 12:40:18+00:00,1
CjqxraDuTMEcfhdqY8qEaMY43icdBrkt3EXciNVpump,Lemon,924610.7939551038,3713163.807289889,228511.7177438378,5391,23968,1745863091.0,2025-04-28 17:58:11+00:00,3
CDBdbNqmrLu1PcgjrFG52yxg71QnFhBZcUE6PSFdbonk,LetsBONK,1618757.3362094106,3594910.5372245004,422100.96736872965,8580,31078,1745605268.0,2025-04-25 18:21:08+00:00,3
9jUb38tuMqsCe328tM7kxFEm3wRpbo3MbXPJoFiTpump,land,716366.7351935674,3570136.162898414,130549.69150768343,4519,29652,1745919210.0,2025-04-29 09:33:30+00:00,3
9fw2AUi3r3eeySnQMtfgtxQaB3UowWVDR1VuBnTrpump,Gork,6048.181695180545,3453276.4599410244,9175.317835651063,494,33516,1746104921.0,2025-05-01 13:08:41+00:00,1
hqYtLoxviwGENvogcJ5324YTbYqW5H9LHtmQu5Jbonk,BONKAI,3231977.6716261827,3291834.729902012,207787.2803348319,877,9993,1746013370.0,2025-04-30 11:42:50+00:00,3
Ui1oZdwHNme7U9EsCyPm7bAXxzW8Br4WX9RnL1dpump,wGORK,4496.733695392921,3150760.765701209,7843.30290687632,158,30112,1746059537.0,2025-05-01 00:32:17+00:00,2
3wJExiVQTc9hDT6uEHjgeFDNvbf1btsmuior3U5Gpump,THIS,32581.36572394472,3126367.2630293556,22709.12107923323,1357,41122,1746096044.0,2025-05-01 10:40:44+00:00,1
