address,symbol,market_cap,volume_24h_usd,liquidity,holder,trade_24h_count,recent_listing_time,listed_at,appear_count
6g7SZhJJTZcfRVyfSj4JYLky3npTXVSJ8pRcdnSMJLTy,SYNDEV,1463692.8283585983,26733214.997979283,449435.5593108979,7233,24962,1745841847.0,2025-04-28 12:04:07+00:00,1
9Rgf7VrW8GfXk5mTs8Hj9T813vNT1VbzG68Sm4QeBnxZ,SORA,1697249.2118344177,20976973.664093718,288859.4821378435,9297,19453,1746024160.0,2025-04-30 14:42:40+00:00,1
Abub8cRJviGWsv1qWjkR1wHqNdYjRenoaZxroFxbpump,Shortcoin,453852.5151676123,16634627.76159372,122035.31341089014,3844,93333,1746003878.0,2025-04-30 09:04:38+00:00,1
AiASC32J6AS5iyhDXC74c5GZAoVjyt6b36gV9AYtcH84,PIXOPIA,4079774.0969135114,14474614.376686115,418583.7197607192,5536,15715,1745975008.0,2025-04-30 01:03:28+00:00,1
47MP6mzg1mkWawZcyPbXtLiikwcSvAqYMKukxRHvBbm5,Lyra,940109.1944511875,14286477.227317095,322871.1351697745,6320,15230,1745841908.0,2025-04-28 12:05:08+00:00,1
C1NajeuDuiZqchrbVM2TsbAtbcEKhwQECuD4ETknfd1f,CIPHER,2638430.2551026754,13559649.877116058,575073.6762162121,5965,13924,1746016594.0,2025-04-30 12:36:34+00:00,1
97uXZdavSESAgt4BmEPhqkBjetFKQM3yKE5n6FQLSubX,GUARNET,3817341.1178515553,13064185.866162062,465253.52957690944,10503,13113,1745692171.0,2025-04-26 18:29:31+00:00,1
CjqxraDuTMEcfhdqY8qEaMY43icdBrkt3EXciNVpump,Lemon,2000714.2434811294,11261042.674844455,325647.5932480196,6111,52029,1745863091.0,2025-04-28 17:58:11+00:00,1
FKBRnWDqnzLUJxM8odGYMhqQygMEseY4NcsBgqekLn6W,SYS,923029.931379549,10633644.265580483,354919.5595585546,10093,14149,1745777591.0,2025-04-27 18:13:11+00:00,1
9jUb38tuMqsCe328tM7kxFEm3wRpbo3MbXPJoFiTpump,land,806723.5141382508,10595735.129193075,208608.54633570169,5148,63893,1745919210.0,2025-04-29 09:33:30+00:00,1
