address,symbol,market_cap,volume_24h_usd,liquidity,holder,trade_24h_count,recent_listing_time,listed_at,appear_count
EBPdRQ7TAjRi1KYjG9bVQiQ8BYDXbKZtrwPKQMRA7d5j,UTRUMP,2235931.681450331,21130116.597675256,449757.90683524986,14421,40658,1746260988,2025-05-03 08:29:48+00:00,1
8hhRHZkoCwLojdSthxu3Ho5K2j4BZHnSZ93HZjd4Mxo6,LFG,1063683.1627322377,18466650.948534362,432346.630303852,7726,20735,1745999383,2025-04-30 07:49:43+00:00,6
7tdvVHWcLqMgMRZ5rFo5fnQVvKnbHfjFx54BoVee8gTS,TRUMP,3240193.1029523094,15676826.174521454,493156.59846198244,20146,62544,1746253003,2025-05-03 06:16:43+00:00,1
A4LGQjgLomHTvmEswxgn8N4zVBTpUqTTdCMHpzqNSfyz,SOLDA,187231.09924950544,15230621.966986861,190062.56114816567,7115,15962,1745846544,2025-04-28 13:22:24+00:00,6
83CecMKTR5C8amizuDR7EbheJGYeHDCSUjtZRmG1pump,TRUMPPOPE,5699.433540246034,11566218.363870235,9456.40881230031,445,129563,1745496103,2025-04-24 12:01:43+00:00,1
BtEjWsDv7TpVTTmEesHkyWzfghxoGMowkSMhrbSfpump,MOGNALD,4018.697915798017,10070302.277960513,7332.8763085164255,212,65257,1746228664,2025-05-02 23:31:04+00:00,1
EDQcnf3pW21LJ4TNGgHrnFAkEN5vqEco6MVo7MYgbvs8,MUSKONOMY,114773.7863508294,9149202.003164763,96480.61242127584,18077,38967,1746235700,2025-05-03 01:28:20+00:00,1
FkT2JJHDLL5eyBeeX7RjFevXSP5UDwRkiMCusg3ypump,URMOM,2798452.7663861825,8663556.604231492,511407.9663189247,2085,32883,1746064604,2025-05-01 01:56:44+00:00,4
GDTgPno7RrBibWgQFjWMy1vJEXWxQQASaCijg89dpump,POTUS,507543.6317048584,8459628.558511324,115887.49978468563,4677,81766,1746239471,2025-05-03 02:31:11+00:00,1
gW44x9v7UhdwCxexgj3kUa7Jg8UKnavt8psBvXHs4op,x,6867.874279230013,6854876.2579966085,9881.391210248186,364,66154,1746253577,2025-05-03 06:26:17+00:00,1
GbZj8B2YPWw2istc916rxZCwUUFHrvZXxpx4uiFCpump,gork,234494.89388200024,6230677.579596149,65223.024221474065,1308,52521,1746044922,2025-04-30 20:28:42+00:00,1
Cz75ZtjwgZmr5J1VDBRTm5ZybZvEFR5DEdb8hEy59pWq,FUCKCOIN,1926244.5917692226,5890518.5096604815,286540.2181544635,3598,35550,1746044986,2025-04-30 20:29:46+00:00,5
AVZoUcRMKKPdm7dbCmBhX17hiGvDZ7GVmkLvttNFpump,daddy,6827.784779104261,5603340.650057094,10479.079540006569,3830,99957,1746237696,2025-05-03 02:01:36+00:00,1
Eu3V5oR6u46C3DcWE1RtM7SzcpN7oS92DMDWBHaZpump,gork,3611.433473405268,5206264.118141608,6629.632274961471,145,40959,1746047754,2025-04-30 21:15:54+00:00,1
Gi2x9YbvoN2ewbLVPG5jyTEaajAp5MaWskV5Eo31pump,garbage,41787.51416400214,3929999.012484142,22744.307788063332,953,46508,1746261507,2025-05-03 08:38:27+00:00,1
9Wkcek2EZFmJf5L2XmC5rfnNVBrdndbMe6yW8fbfbonk,CHACHA,1789317.174187957,3591025.934430844,237396.02975758034,2023,26871,1746021009,2025-04-30 13:50:09+00:00,3
vv96jGJhGEqq5GU6q6zqpPrGMayZpGxQ35rrGEkpump,millennial,539930.6823783444,3097752.529361763,85002.61534368462,1943,35064,1746216715,2025-05-02 20:11:55+00:00,1
SWjRWeYMjv9akDkTRjexgGLhHTa2qeBNMEN3UW9pump,GENZ,1331485.4222397192,3076528.704600231,199799.42395251337,2841,18856,1746119939,2025-05-01 17:18:59+00:00,3
Ey59PH7Z4BFU4HjyKnyMdWt5GGN76KazTAwQihoUXRnk,PASTERNAK,5040692.944033571,2994980.3935278347,416418.00189358386,19041,12058,1737689997,2025-01-24 03:39:57+00:00,1
GkyPYa7NnCFbduLknCfBfP7p8564X1VZhwZYJ6CZpump,CHILLHOUSE,712028.8735434643,2870315.1517350753,141754.8025147037,2301,16721,1745617855,2025-04-25 21:50:55+00:00,5
qRUZaCpgxaRH1s5V6opjPA6Hnpv5BM37LqkDBw7pump,MvG,987113.0213097575,2730026.8973133825,207390.8425702975,6796,21930,1745470240,2025-04-24 04:50:40+00:00,6
AFMyfmGLmZ7VGfqbQ3aUaHtNQnH3mE4T1foJyimppump,BeforeGTA6,296795.20788388845,2570567.7724097683,80599.14732881483,4535,23752,1746185534,2025-05-02 11:32:14+00:00,3
76EDL5qNcte2ZH29quTaFzagXjWAEY83CATEjyA6pump,gork,2884384.3387796367,2529688.286574808,181321.7531735074,1375,10283,1744060430,2025-04-07 21:13:50+00:00,1
14jazxRjHyaYsGoFk1u3CZSmgswYginbtTK8Z9PAboop,Dingo,1222642.180392991,2330548.9687813655,147592.48595476034,1229,11894,1746123436,2025-05-01 18:17:16+00:00,1
BQX1cjcRHXmrqNtoFWwmE5bZj7RPneTmqXB979b2pump,Italianrot,5166697.40364207,2304751.81287266,604987.2660482968,6936,13397,1740933393,2025-03-02 16:36:33+00:00,4
Ai3eKAWjzKMV8wRwd41nVP83yqfbAVJykhvJVPxspump,moonpig,2045201.4991616115,2289502.8683702047,233142.17120548527,911,13761,1746107207,2025-05-01 13:46:47+00:00,3
8oosbx7jJrZxm5m4ThKhBpvwwG4QpoAe6i4GiG19pump,Wizard,3532036.9416828686,2270679.4784262385,551872.6664037831,7063,14122,1744213911,2025-04-09 15:51:51+00:00,6
F4SJeUwojXkzUUDt9BpjwFLbvRdGHPVt5S1xeXthS3oy,BAB,6645.295209737461,2221709.783597982,8741.341345795463,169,22749,1745946078,2025-04-29 17:01:18+00:00,3
RhFVq1Zt81VvcoSEMSyCGZZv5SwBdA8MV7w4HEMpump,CFX,1803454.396785399,2157417.0955078965,227149.84160435482,2717,8865,1745635891,2025-04-26 02:51:31+00:00,2
4rjoKMxXay5NaVvFxdZWCQA71NnnTve6PupeBab3nW1f,GOLD,106017.84109064672,1926362.2062637853,68768.16939107906,3375,33849,1746202619,2025-05-02 16:16:59+00:00,1
CDBdbNqmrLu1PcgjrFG52yxg71QnFhBZcUE6PSFdbonk,LetsBONK,2068783.6063076458,1761720.7101154984,418756.77276051545,8536,20307,1745605268,2025-04-25 18:21:08+00:00,6
6EXW1uMsNWX9e69Apw6DfFgnX3cc1AWjsQo75zDepump,LockedIn,1400174.3235293117,1747776.34885939,231809.27407355243,3858,15212,1746027727,2025-04-30 15:42:07+00:00,6
4TBi66vi32S7J8X1A6eWfaLHYmUXu7CStcEmsJQdpump,Ghibli,3996739.0555410166,1557407.8217638927,659679.1667220497,15364,17059,1742982326,2025-03-26 09:45:26+00:00,5
CniPCE4b3s8gSUPhUiyMjXnytrEqUrMfSsnbBjLCpump,pwease,4391407.996561336,1515552.2747564516,911045.0285055538,21985,12204,1740949248,2025-03-02 21:00:48+00:00,6
99c43XChT5VmC2BCpHB2tHiDEHs5pVbRmPVPgAoEpump,G3,33724.73715469785,1414074.8928538994,20589.59024046395,462,18142,1741115943,2025-03-04 19:19:03+00:00,1
3Ubp2dXJ9X5oueMjpEeUHHDn7Vs31ZNLNd1YU9F2HT5h,QUAO,43187.132392628744,1244314.636975306,49006.02977287448,1051,31403,1746251065,2025-05-03 05:44:25+00:00,1
62jxKDMJrgaWEh32YrfwgVnvCHU2DhY8HZA7q2Cnpump,BQ,3527.3356713248104,1139278.45138421,6318.546067202115,57,14966,1746258471,2025-05-03 07:47:51+00:00,1
oR1P5q88dBSbdXiWqiTdaYduiNjD1LamsxBjqZQpump,ALBINO,4339938.162731092,1133014.861731798,233699.11043135522,2228,9826,1746046814,2025-04-30 21:00:14+00:00,5
fRfKGCriduzDwSudCwpL7ySCEiboNuryhZDVJtr1a1C,DUPE,3104409.2657820215,1131728.506501849,322724.8038431244,2538,4702,1745887721,2025-04-29 00:48:41+00:00,6
A1UrE8WD9HiWUY2kcJtxu5JaAfZ8jaarC2P87zVJpump,WhiteGuilt,16022.17267651675,1062130.794148461,14000.468377288153,516,12643,1746255936,2025-05-03 07:05:36+00:00,1
4rwPNRSFgcS7EGphFdX7VwXuhjZGxph7gYyb7Zp2pump,AuraFarm,2632697.5250972025,1033751.5688793884,6579.907215109226,3053,4656,1742659157,2025-03-22 15:59:17+00:00,5
9jUb38tuMqsCe328tM7kxFEm3wRpbo3MbXPJoFiTpump,land,450487.5200470471,1008491.3006061525,115276.86646867971,4154,9882,1745919210,2025-04-29 09:33:30+00:00,6
Fgp2JaPkmw6WaNqVcfm1RxHBi2VUJCToxfAEE2wCpump,ROOM,92514.1817580498,989003.5053037356,31386.96993078067,629,7399,1746202839,2025-05-02 16:20:39+00:00,1
3shfVzKVVBMdbXwzxyqLCJF5GCme32pkfJroiBpBpump,horni,310965.31982333655,928245.8642824276,90121.66803542762,2136,6465,1746050058,2025-04-30 21:54:18+00:00,5
CjqxraDuTMEcfhdqY8qEaMY43icdBrkt3EXciNVpump,Lemon,1012575.7383096736,903056.4097322812,189599.80895036698,4883,6958,1745863091,2025-04-28 17:58:11+00:00,6
Apx7kXzDHmaUBX1rm7T6MP1P9zQuBXuhed5S9zCqpump,GSG,21776.42202984327,882941.0721551203,15733.331590756712,307,13056,1746217922,2025-05-02 20:32:02+00:00,1
GcmsHHG41giJYACYKrdxZp3kdKMZfg1UB7LaYzCzPxLJ,SUPFRIEND,1173723.8898162001,822341.5320806,207559.14606666262,2298,3510,1745883923,2025-04-28 23:45:23+00:00,6
